x,y,z,d,N,a,Mr,Mrx,Mry,Mrz,Hc,Hsw,Hsw_file1,Hsw_file2
30,50,50,10,10,10,-0.337112,-0.321212,-0.124235,-0.124235,0.00259999999999999,0.00230000000000002,2,3
30,50,50,10,10,11,-0.280553,-0.263622,0.089251,-0.088868,0.000599999999999989,0.000400000000000011,0,1
30,50,50,10,10,12,-0.299616,0.312482,0.124663,-0.124623,0.00359999999999999,0.00330000000000003,3,4
30,50,50,10,10,13,-0.352648,0.321525,-0.1243,-0.123317,0.00259999999999999,0.00230000000000002,2,3
30,50,50,10,10,14,-0.029469,-0.105782,0.000255,-0.000457,0.000800000000000023,0.000800000000000023,0,1
30,50,50,10,10,15,-0.301355,-0.311871,0.124586,-0.124694,0.00359999999999999,0.00330000000000003,3,4
30,50,50,10,10,16,-0.257114,0.240488,0.090765,-0.090529,0.00130000000000002,0.00120000000000003,1,2
30,50,50,10,10,17,-0.042392,-0.240874,0.043223,-0.043115,0.00209999999999999,0.00230000000000002,2,3
30,50,50,10,10,18,0.002276,0.2544,-0.083104,0.053943,-9.9999999999989e-05,0.0159,15,20
30,50,50,10,10,19,-0.001945,-0.066145,0.000145,-0.000266,0.000400000000000011,0.00420000000000004,4,5
30,50,50,10,10,20,-0.229107,0.320232,0.12418,-0.124359,0.00819999999999999,0.00689999999999996,5,10
30,50,50,10,10,21,-0.204406,-0.321003,-0.124249,-0.124249,0.00880000000000003,0.00719999999999998,5,10
30,50,50,10,10,22,-0.136152,0.298844,0.079727,0.056073,0.00230000000000002,0.00230000000000002,2,3
30,50,50,10,10,23,-0.01477,0.099449,-1.4e-05,-0.0002,0.000599999999999989,0.000700000000000034,0,1
30,50,50,10,10,24,-0.17453,0.318538,0.12458,-0.124365,0.014,0.0125,10,15
30,50,50,10,10,25,-0.310363,-0.31857,0.124311,-0.1236,0.0035,0.00320000000000004,3,4
30,50,50,10,10,26,-0.203166,0.321958,-0.124267,-0.123314,0.0127,0.0117,10,15
30,50,50,10,10,27,-0.006144,-0.037462,0.000162,-0.000228,0.000400000000000011,0.000599999999999989,0,1
30,50,50,10,10,28,-0.194177,0.240644,0.043098,-0.043267,0.00140000000000001,0.00130000000000002,1,2
30,50,50,10,10,29,-0.036855,0.241429,0.043071,-0.04335,0.00270000000000004,0.00330000000000003,3,4
30,50,50,10,10,30,-0.01552,-0.243603,-0.093989,0.093652,0.00190000000000001,0.00639999999999996,5,10
30,50,50,10,10,31,-0.258898,0.321833,0.124056,-0.124275,0.00780000000000003,0.00650000000000001,5,10
30,50,50,10,10,32,-0.268967,0.321963,-0.124276,-0.123306,0.00800000000000001,0.00670000000000004,5,10
30,50,50,10,10,33,-0.207422,-0.32062,-0.124285,-0.124277,0.013,0.0118,10,15
30,50,50,10,10,34,-0.078558,-0.242467,-0.043107,-0.04344,0.00230000000000002,0.00230000000000002,2,3
30,50,50,10,10,35,-0.210869,0.319706,0.124278,-0.12437,0.0133,0.0119,10,15
30,50,50,10,10,36,-0.098326,0.242634,-0.043343,-0.043018,0.00130000000000002,0.00130000000000002,1,2
30,50,50,10,10,37,0.028631,-0.243253,0.094225,0.09349,-0.00109999999999999,0.0118,10,15
30,50,50,10,10,38,-0.34329,-0.319751,-0.12434,-0.124307,0.00259999999999999,0.00230000000000002,2,3
30,50,50,10,10,39,-0.02156,-0.255429,-0.082171,0.053417,0.000900000000000012,0.012,10,15
30,50,50,10,10,40,-0.275107,-0.244391,0.093849,-0.093624,0.000700000000000034,0.000400000000000011,0,1
30,50,50,10,10,41,-0.144234,-0.288848,0.079695,0.055738,0.00230000000000002,0.00230000000000002,2,3
30,50,50,10,10,42,-0.244924,0.322069,-0.124287,-0.123282,0.00830000000000003,0.00689999999999996,5,10
30,50,50,10,10,43,-0.210415,-0.321332,-0.123604,-0.124593,0.00889999999999996,0.00730000000000003,5,10
30,50,50,10,10,44,-0.187823,0.262286,0.04562,-0.043064,0.00130000000000002,0.00130000000000002,1,2
30,50,50,10,10,45,-0.006684,0.05434,-0.000142,0.00024,0.000599999999999989,0.00130000000000002,1,2
30,50,50,10,10,46,-0.001481,0.053147,0.000152,-4.6e-05,0.000300000000000022,0.00280000000000002,2,3
30,50,50,10,10,47,-0.195897,0.194541,0.092394,0.000113,0.00140000000000001,0.00120000000000003,1,2
30,50,50,10,10,48,-0.064556,-0.240578,0.043079,-0.043207,0.00309999999999999,0.00320000000000004,3,4
30,50,50,10,10,49,-0.216254,-0.281152,0.059441,-0.073601,0.00140000000000001,0.00130000000000002,1,2
